## Unknown:

  AgentUserConsentExperience_Wave2: 61095237
  AllowHideRecommendedSection: 59176247
  AllowProcessingColorFiltersOnHardware: 39905418
  AllowSingleViewAppsForAssignedAccess: 5227080
  AltTextWindowsBackup: 54707867
  AlternateHomeExperience: 28261277
  AppAssociatedAgents__Feature_AppAssociatedAgents: 0
  AppListCommercial: 57688741
  AppRestorePlaceholders: 41088358
  AppsInMoments: 40983231
  ArbiterMetadataContainer: 38339672
  ArbiterOfflineImageArch__descriptor: 0
  AskChatAgent_Shared__Feature_AskChatAgent_Shared: 0
  AskChatDismissDeferral__Feature_AskChatDismissDeferral: 0
  AskChatM365ColdBootFix__Feature_AskChatM365ColdBootFix: 0
  AskChatMenu__Feature_AskChatMenu: 0
  AskChatPromptBoxDefaultText__Feature_AskChatPromptBoxDefaultText: 0
  AskChatPromptBox_Undocked__Feature_AskChatPromptBox_Undocked: 0
  AsyncChatAgentQuery__Feature_AsyncChatAgentQuery: 0
  AsyncLockChangedEvent: 60960975
  AsyncWorkFailFastFix: 56887419
  AttributeManagerSingleton: 37586555
  AttributeProvidersConcurrentRefresh: 39379499
  AutoHDRPerAppSettingVisibilityChange: 47285941
  AutoSR_2511D: 59707436
  AutoSR_2601: 59923166
  AutoSR_2602: 60524777
  AutoSR_2603: 60938008
  AutoSR_2604: 61169254
  AutoSR_SelfhostMode: 60704489
  AutoSR_v2: 54015947
  AvoidChatBoxLoadedCrashes__Feature_AvoidChatBoxLoadedCrashes: 0
  BPT_CD_BugFixes_2505: 56203695
  BTDKS_55832605: 55832605
  BTPanUI: 41540195
  BWICMHS: 61191247
  BackgroundBackupRestoreHandler: 34875338
  BackgroundTaskCanceledTelemetry: 45625845
  BackupBannerL3Alerts: 43833074
  BackupButtonVisibleTrigger: 45276856
  BackupCommercial: 56012536
  BackupPolicyManager: 57386133
  BackupStNotify: 53615593
  BaseImageUsingServicingStack: 41024749
  BaselineAcquisitionFix__descriptor: 0
  BaselineMetadataAcquisition: 43396183
  BetterASUXPerfTestFixes__Feature_BetterASUXPerfTestFixes: 0
  BluetoothLEAudioCoordinatedSetUXImprovement: 46544283
  BluetoothLEAudioHearingAids: 35619499
  BluetoothUX_RadioWatcherExceptionFix__descriptor: 0
  BrailleComboboxError_36531822__descriptor: 0
  BreadCrumbBarMemoryLeak: 56788622
  BrightnessSettingsTreatAIOAsInternal: 55861683
  Brightness_Slider_No_Effect_Fix: 43806405
  BrowserReplacement: 21167812
  BugFix39591904_CloudClipboardSetting: 39591904
  BugFix52931714: 52931714
  BugFix60248196: 60248196
  Bugfix_55037899: 55037899
  Bugfix_56683454: 56683454
  Bugfix_58761460: 58761460
  Bugfix_59291947_58995668: 59291947
  CAI: 54475355
  CAMStorageDatabase: 54365364
  CAMStorageDatabase_Wave1: 55578545
  CAM_CUASupport: 56259352
  CAM_Hardening_Wave2: 57155061
  CAM_Hardening_Wave2_Frontload: 57805028
  CBRS: 29855943
  CBSDeepReoffer__descriptor: 0
  CBSEU__descriptor: 0
  CBSMergeFix_CBSScavengeCorruption__descriptor: 0
  CBSPSC__descriptor: 0
  CBSPlan2__descriptor: 0
  CBSPlan__descriptor: 0
  CBSSBU__descriptor: 0
  CBSScavengeCorruption__descriptor: 0
  CCW: 45046901
  CDHPNPUS: 60067115
  CDLCDPF: 56293309
  CDLCMMF: 52882955
  CDMLiteAssetsValidation: 41172133
  CDMLiteBackupSignals: 45027619
  CDMLiteDisableHttpCache: 59029269
  CDMLiteDownloadAssets: 31797835
  CDMLiteRetryOnAuthFailure: 60280187
  CDMLiteVersion: 33572137
  CDTCT: 60052054
  CDTCTT: 60596627
  CDVABCBC: 57198779
  CDVABNC: 58387506
  CDVACEEI__Feature_CDVACEEI: 0
  CDVACFN: 58838119
  CDVACHPBF: 48533480
  CDVACSI: 55315192
  CDVADMBF: 59807637
  CDVADOOBE: 57457659
  CDVADSS: 54572812
  CDVAEDLS: 60621895
  CDVAEJAJPLS: 59037714
  CDVAELS: 58136929
  CDVAFAG: 58560373
  CDVAFCCF: 57290298
  CDVAFCO: 58226770
  CDVAFDF: 60625354
  CDVAFDOCLI: 61304141
  CDVAFDOVTI: 60154390
  CDVAFDV1I: 60039451
  CDVAFFCLP: 57237199
  CDVAIECC: 58657143
  CDVAIFA: 58730079
  CDVALLASNS: 57428401
  CDVALSCF: 58555008
  CDVAMDRL: 60853116
  CDVAMMF: 60586370
  CDVAMSI: 60436175
  CDVANAKFF: 59730436
  CDVANBCS: 61381752
  CDVANBPF: 60159528
  CDVANDE: 59668702
  CDVANFMW: 57508752
  CDVANFRE: 58680439
  CDVANLA: 61366962
  CDVANPAA: 61381776
  CDVANSF: 60835494
  CDVANSWF: 57322519
  CDVANVAWUP: 59243407
  CDVANWBF: 61358616
  CDVAPSDD: 59459092
  CDVARR: 60173009
  CDVARTPCF: 56875575
  CDVASFF: 60563076
  CDVASLIF: 60713157
  CDVASNA: 59669219
  CDVASNTFPF: 60237108
  CDVASSL: 57696182
  CDVATC: 57828830
  CDVATCLS: 59887882
  CDVATNFSIF: 58280852
  CDVATOF: 57909234
  CDVATPVMCF: 60052651
  CDVAUSRIF: 58968269
  CDVPDTT: 60097203
  CDVTEC: 59825425
  CDVTPD: 58970402
  CDVTTC: 57864869
  CDVTTCLS: 60901381
  CDVTTCSF: 61101355
  CDVTTCWBF: 60319268
  CD_LCCIFSM: 60605216
  CD_LCLTATTRT: 60900616
  CD_LCLTT: 60240760
  CD_LCLTTVT: 60568085
  CD_LCTTSR: 55187019
  CMURI_60354066__Feature_CMURI_60354066: 0
  CM_OneClick: 57800637
  CPLMigration_ChangeAccountName: 59149945
  CUDIEX: 47796414
  CacheCleanup: 37066007
  CameraFix_61134827: 61134827
  CameraManagedModePolicy: 50446965
  CameraQI2511: 58293850
  CameraQI2602: 59784917
  CameraQI2605: 60749266
  CameraSH_52883745: 52883745
  CameraSH_59725183: 59725183
  CameraSH_59899798: 59899798
  CameraSH_60066505: 60066505
  CameraSH_61065723: 61065723
  CameraSH_LegacyMEPDetectionFix: 60541898
  CameraSettingsFOV2Fix: 59923383
  CancellationOfInFlightWork: 60799422
  CaptureExclusion_CheckChildOfAppIdPath: 51028533
  CheckConversationConnection__Feature_CheckConversationConnection: 0
  ChildKeyPanelHideInsertsDuplicated: 61318196
  CleanupStorageSettingsTestViolationsRound1: 58426246
  ClearCustomDictionaries: 60329345
  ClickToDoPenEdgy: 56031537
  CloudEyeControlSettingsRestore: 44647912
  CloudStore: 6201249
  CloudStoreMultipleDisplaySettings: 38858566
  ColorChangeOptimizeSharedFileWritesA: 39941783
  ColorChangeUWPFix: 0
  ColorProfileAfterHibernate: 54267862
  ColorProfileSettingAddProfileFix: 54477555
  ColorProfileSettingCalibrationButtonCrashFix: 42030017
  ColorProfileSettingFilterFix: 59249206
  ColorProfileSettingRefreshListFixAndEnablePreviousFixes: 53990958
  ColorProfileSettingWNFunsubscriptionFix: 41550632
  ColorProfileSettingsAddCloneModeAndGroupPolicyInfoBar: 57119860
  ColorProfileSettingsClass: 45173691
  ColorProfileSettingsNullSingletonCheckFix: 61029354
  CommandMultilingualSupport: 59065581
  CommandSearchCameraListHandlerChanges: 60707766
  CommandSettingsCameraSettingsSupport: 60807774
  CommandsUxNotRefreshingCorefix: 56861570
  CommercialLayoutForMultisessionSKU: 58272524
  Commercial_A11y_Fix: 57536353
  CompanionAutoHide: 58586862
  CompanionImpressionTelemetry: 60232640
  CompanionMessagePreview: 60682493
  CompanionsDMAFix__descriptor: 0
  Companions_V3: 58672433
  ConfigureStartPinsGPFromFilePath: 60279858
  ConfigureTaskbarSmallButtonsPolicy: 58306687
  ConsentFlow_GA__Feature_ConsentFlow_GA: 0
  Consent_Core: 44755019
  ContentDeliveryPolicyRestrictions: 4877938
  ContextMenuPositioningFix: 57390494
  ControlSizePrefastWarningFix: 48588626
  ConvertUnits_2601Fixes__Feature_ConvertUnits_2601Fixes: 0
  CortanaWindowsSearchSettings: 12716999
  CrossRunProgressForGDR: 61169726
  CuratedActionsCachingImprovement__Feature_CuratedActionsCachingImprovement: 0
  CuratedActions__Feature_CuratedActions: 0
  CustomTextActionEntityManualCuration__Feature_CustomTextActionEntityManualCuration: 0
  DITest: 27924095
  DL58267129: 58267129
  DL60708866: 60708866
  DTBF_60535942: 60535942
  DTF_Test: 45624564
  DTRPH_61034372: 61034372
  DTSM_Test: 60974464
  DTS_Test: 59277861
  DarkModeForOperationStatus: 57857165
  DataFetchFailedSafeCheck__Feature_DataFetchFailedSafeCheck: 0
  Dcr_24_04_NonSec__descriptor: 0
  Dcr_24_05_NonSec: 45034775
  Dcr_Future__descriptor: 0
  DefaultIdSupport: 0
  DeleteMinuteZeroExperiences: 56347080
  DeprecateDeadCode2602: 60496648
  DeprecatePeopleOnTaskbar: 47471671
  DeprecatePre11Styles: 60454545
  DesktopDWMCursor: 27829265
  DesktopSpotlight: 26008405
  DesktopSpotlightAccessibilityBugFixLearnMoreToolTip: 55945278
  DesktopSpotlightDataTemplateV2: 41520931
  DesktopSpotlightDescriptionText: 55944797
  DesktopSpotlightFlyoutLearnMoreButtonZeroLeftAndRightPadding: 55762964
  DesktopSpotlightFlyoutUXUpgrade: 57551469
  DesktopSpotlightHandleNoIrisCreatives: 43581066
  DesktopSpotlightHotspots: 52793632
  DesktopSpotlightOEMBugFixesAndTelemetry: 57058903
  DesktopSpotlightOEMContent: 48146206
  DesktopSpotlightProtocolLaunchUri: 46616323
  DesktopSpotlightRescaleImprovements: 47162830
  DesktopSpotlightSystemSettingsPageTrigger: 38179238
  DesktopSpotlightTipImprovements: 46890315
  DesktopSpotlightUdk: 39880030
  DesktopSpotlightUndocked: 39710659
  DesktopSpotlightUserPersonalizationTelemetry: 59379552
  DesktopStickerEditor: 36165846
  DeviceIntegrationPolicyWXH: 44740108
  DeviceRebuild: 56157721
  DevicesCollection: 5348245
  DevicesFlowSettingsDeviceDiscovery: 5383254
  DimeOcdiSource__Feature_DimeOcdiSource: 0
  DisableDesktopSpotlightOnFatalFailure: 43612613
  DisableDevHomeLaunchOnUserIntentSettingsPage: 60270958
  DisableLanguageAdminFlows: 57396743
  DisableOobePostGamepassExperimentation: 56099628
  DisableOobePostUserIntentExperimentation: 56099623
  DisableWorkAroundBackupIntentForFilesystem: 0
  DismissSearchOnDisplayChangeUndocked: 43379241
  DispBroker_MdmNotifications: 48231398
  DisplayAdapterProperties: 25806621
  DisplayBugBundle_2504: 55435102
  DisplayBugBundle_2506: 55449914
  DisplayBugBundle_2507: 57512306
  DisplayBugBundle_2508: 57512307
  DisplayBugBundle_2509: 57512308
  DisplayBugBundle_2510: 58650682
  DisplayBugBundle_2511: 58650683
  DisplayBugBundle_2601: 59104222
  DisplayBugBundle_2602: 60133026
  DisplayBugBundle_2604: 61028582
  DisplayBugBundle_2605: 61028554
  DisplayDitheringSupport: 34861659
  DisplayPackageFullNameOnAliasPage: 58323029
  DisplayProvider: 36878944
  DisplaySearchSettingsForStandardUsers: 49757605
  DisplaySettingsTargetSyncOnViewInvalidation: 57017005
  DisposeStreamingTextEntity__Feature_DisposeStreamingTextEntity: 0
  DoubleFreeGetAccountInfo_BugFix: 56589106
  DownloadAssestsAsJpg: 47097649
  DpswOneSettingsControl: 37682118
  DriveBasedNamespaceRestrictions: 24750601
  DriverSetup_ReofferFingerprinting_v2: 0
  DriverStore_EnumerateBlockedDrivers: 0
  DynamicActionPillFocusStateBugFix__Feature_DynamicActionPillFocusStateBugFix: 0
  DynamicActionsChatSuggestions_Undocked__Feature_DynamicActionsChatSuggestions_Undocked: 0
  DynamicDeepLinkToAdvancedDisplaySettings: 40945441
  EAA_Bugfix_CaretOffset: 38922567
  EPAT: 58353646
  ERQuickActions: 59956305
  ESCFSRPF: 56786993
  EVAIO: 45572939
  EarlyFrameShowBeforeInit__Feature_EarlyFrameShowBeforeInit: 0
  EarlyInitializePolicies: 55797249
  EaseOfAccessQuickSettings: 20782259
  EcoQosDownlevel__descriptor: 0
  EdgeSplitPaneLogic: 54162333
  EmailAndAccountsStringsChanges: 44652844
  EnableDeveloperModeOnly__Feature_EnableDeveloperModeOnly: 0
  EnableRunningHostedAppsWithAEA: 57261669
  EnableUninstallSystemComponentsForDMARegions: 57623725
  EnableVisualAssistWithActions__Feature_EnableVisualAssistWithActions: 0
  Enable_57654056_Fix: 57654056
  EnhancedPalette: 30915588
  EnlightenSearchForSxS: 50582951
  EnrichThirdPartyIrisContent: 37623514
  EnterpriseDataProtectionUDK: 57540424
  ErrorCodeGranularizationFODLPOC__descriptor: 0
  EssFprPeripherals: 61441697
  ExFatChkdskDisplayIssuesFix: 53672146
  ExcludeUnresolvedAppsInPriorityNotifs: 58948408
  ExperimentOptIn: 40062046
  ExplorerIntDarkMode_31144776__descriptor: 0
  ExtendedUIAnimations: 60511437
  ExtendedUIKeyboardClose: 59880424
  ExtendedUINeedyUDK: 57842730
  ExtendedUIXamlRefresh: 29532725
  ExternalBrightness: 12759424
  ExternalBrightness_UIErrorReporting: 54920936
  ExternalCuratedActionsIrisCampaign__Feature_ExternalCuratedActionsIrisCampaign: 0
  FDConversation__Feature_FDConversation: 0
  FECreateSmartActionsIfApplicableCrash: 57140242
  FE_LPC: 51848093
  FE_PI: 48895801
  FE_PI_57775158: 57775158
  FE_PI_57843762: 57843762
  FE_PI_59383850: 59383850
  FE_SharedIXH: 45130483
  FI45690266: 45690266
  FI53638129: 53638129
  FTPRAC: 57687238
  FTP_NonUserProfile_PC_to_PC: 56759368
  FaceDataRetention: 58840985
  FailOnNoConnectivity: 54630106
  FailedSearchScopeFetch_56757520: 56757520
  FamilyValuePropNewLayout: 60254659
  FasterCrc32: 0
  FeaturePreviewOptIn: 60911173
  FederatedSignInGoldenPathFixes_52263987: 52263987
  FileExplorerDarkTheme: 10397285
  FileExplorer_GetListPerfImprovements__descriptor: 0
  FileStorageProviderSynchronization__Feature_FileStorageProviderSynchronization: 0
  FileTreeProvider: 49765847
  FindMyPen: 11789752
  Fix3rdPartyIMEControllerCrash: 57948757
  FixAskChatBoxLoaded__Feature_FixAskChatBoxLoaded: 0
  FixCleanupFlowNonElevatedState: 60879650
  FixConvertUnitsM365CopilotHandoff__Feature_FixConvertUnitsM365CopilotHandoff: 0
  FixCrashDueToRawPointer: 56918335
  FixCustomCursorResetCrash: 57094515
  FixHangOnOpenCategory: 56429325
  FixNoOptionForVhdStorageOpConfirm: 59947587
